bench,dual_issue,status,tohost,cycles,ipc,retired_lane0,retired_lane1,retired_total,dual_issued,lane1_issue_en,flush_id,freeze
fib,0,PASSED,,615,0.752846,463,0,463,0,0,150,0
cachetest,0,PASSED,,557072,0.882320,491516,0,491516,0,0,65554,0
sum,0,PASSED,,3160098,0.667853,2110482,0,2110482,0,0,1049614,0
replace,0,PASSED,,3160116,0.667855,2110500,0,2110500,0,0,1049614,0
final,0,TIMEOUT,,500000000,0.976190,488095234,0,488095234,0,0,11904764,0
dual_ilp,0,PASSED,,84016,0.999714,83992,0,83992,0,0,22,0
fib,1,PASSED,,614,0.754072,462,1,463,156,156,150,0
cachetest,1,PASSED,,524305,0.937462,458749,32767,491516,163850,163850,65554,0
sum,1,PASSED,,3160096,0.667854,2109456,1026,2110482,1051662,1051662,1049614,1024
replace,1,PASSED,,3160114,0.667856,2109474,1026,2110500,1051671,1051671,1049614,1024
final,1,TIMEOUT,,500000000,1.223881,485074622,126865670,611940292,179104479,179104479,14925376,0
dual_ilp,1,PASSED,,45098,1.862433,45074,38918,83992,40981,40981,22,0
